uid	iids
405	1139,36,255,560,1155,1172,1105,1252,1402,906,1271,1459,1056,1057,1509,1526,1525,886,1244,1534,1510,9,651,1124,1516,1216
406	32,841,1421,584,490,490
407	872,1149,1133,1222,842,902,9,651,1068,1418,1469
408	834,1063,9
409	1494,598,1342,9,1195
410	820,990,1035,95,1387,854,227,1461,1180,1182,1054,9,1195,41
411	1290,1333,1471,823,1113,1129,1486,1479,1356,9,651
412	1078,9,826,1498
413	1028,1155,1157,1161,931,9,41,1124,1195,651,1068,1203
414	728,1217,111,229,1201,841,804,1286,960,1208,1438,1019,1074,490,490,1284,1488,1118,583,229,9,1068
415	728,1147,687,1329,1461,1284,598,1342,1195
416	31,246,1116,1080,1054,1037,1059,1257,1495,1090
417	121,160,986,9,41
418	849,1265,1246,1447,1129,1509,1548,620,1195
419	778,1243,41
420	855,1448,1048,918,1181,931,949,1441,9,9,651,1068,1124,1195,41
421	1504,1271,911,1367,583,840,1441,9,1068,1547,586
422	895,236,987,1082,781,687,921,1449,1113,630,9,1068
423	71,1098,1156,513,1217,109,921,1329,1369,873,1438,1048,1136,952,1443,614,9,1203,1195
424	521,255,1043,774,1301,1198,804,1368,1177,1424,1395,573,1525,1356,9,1068,1195,1493,896,1242,615
425	1227,1298,358,358,158,1360,1467
426	681,1007,1405,931,1304,1089,9,651
427	1288,1078,9,1124,1195,1195,1200,229,1044,1039
428	1537,1473
429	780,591,946,1141,1147,1144,1263,1183,1574,1370,1254,1425,1459,1442,1113,1241,1463,1548,1137,490,490,476,476,229,157,1518,1503,1096,651,1068,1068,1068,1546,1465,1269
430	788,1144,879,1211,1273,1081,682,1442,1489,1159,793,618,1284,1488,961,1436,1089,9,651,1124,1068
431	855,255,849,776,1043,958,495,495,1300,1253,1258,757,1226,826,1038,1248,1254,203,828,1286,1369,1191,1427,1458,1386,1452,1451,1447,1364,1129,1069,1543,1543,932,1463,1509,1136,1137,1523,1526,1524,1504,750,1230,1407,1325,1520,1193,1182,1181,185,1250,264,931,669,101,1443,1323,1435,1302,1304,961,1436,1534,630,1478,942,583,391,391,397,397,229,266,9,1493,1181,1405,1354,1478,1052,876,358,358,1124,993,615
432	1164,31,1463,1271,9
433	849,862,728,836,582,229,1203,1068,1068,1398
434	1310,1077,1395,1543,1409
435	1174,1150,897,1422,931,9
436	1152,1217,1145,797,1292,754,1388,1248,1243,1246,1363,1019,1543,490,490,1042,582,1068
437	788,946,767,890,705,1081,1329,277,1457,1042,1514,931,1244,9,1195
438	1030,1237,9
439	513,1257,1448,9,1398
440	602,1152,1187,1403,1458,618,932,1525,1096,1023,1426,1408,949,651,651,396,396,1238,896
441	18,973,648,1283,1285,584,1271,931
442	919,1048,1528,1277,1137,796,842
443	1068,9,41,651,227
444	503,503,914
445	9,41,415,415,644
446	9,451,451,651
447	9,41,1085,1312
448	93,1134,1191,9,725
449	9,114,384
450	9,320,320,320,320
451	12,1211,1575,1045,1044,1426,207,1321,10,1493,651,1068,1349,1350,1378,1429,133,594
452	238,137,11,10,320
453	905,11,1327
454	846
455	137,53,54,56,116,53,54,1041,53,54,53,54
456	34,134,137,531,1128,10
457	577,798,1384
458	677,134,12
459	11,53,54,119,1117
460	11,320
461	10,53,54,714,1083
462	119,1117,11,137,320
463	320,320,588,1026,676
464	17,590,596,857
465	878,889,524,10,551,82
466	11,134,531,10,137
467	238,715,1192
468	554,705,10,10,34,144,706,12,119,562,1117,320,320,731,553,135,564,957,1023,1090,654
469	948,119,551,1117,1321
470	12,11,134
471	10,1026,16
472	779,503,503,914,1083
473	119,135,1117,11
474	119,1117
475	877,551,878,714,11,119,135,1117,66,11,134,134,320,320,677,11
476	503,503,914,957,11
477	311,311,11,1321,677
478	11
479	320,320,12,673,503
480	676,12,320,320,792
481	320,320,320,320,12
482	726,12,137,119,1117
483	592,1208,12,610
484	12,135,526,531,877
485	12,12,119,1117
486	74,66,12,320,320
487	335,335,326,326,332,332,12
488	12,66,719
489	558,117,118,629,12,571
490	320,320
491	12,134,751,877
492	12,357,370,357,370
493	12,12,243,660,585
494	12,66,541,12,117,137,563
495	515,92,44,240,364,364,379,379,295,295,1110
496	13,168,241,515,715,1218,150
497	13,14,837,1376,835
498	568,13,168,239,768,715,715,1126
499	238,715,13,715,1014
500	13,45
501	13,239,251,387,387,568,721
502	14,42,44,936,545
503	42,131,387,387,14
504	42,251,150,634,14,241
505	14,43,239,240,251,387,387
506	14,43,44,239,338
507	14,57,580,785,827,861,928
508	14,387,387,515,860
509	458,458,251,14,721
510	42,14,14,44,240
511	239,251
512	15,50,92,238,239,239
513	15,238,859
514	15,368,387,368,387
515	45,15,238,387,387
516	15,92,150,387,387
517	15,210,251,364,364
518	15,44,364,364
519	16,137,517,877,1053
521	16,115,320,320
522	17,419,421,419,421
523	229,252,634,17,510
524	17,353,353,937,1348
525	229,670
526	17,17,353,353,353,353,510
527	78,17,1006,822,365,365,145,1177,566,163,235,52,566
528	17,181
529	18,159,182,72,855
530	18
532	18,205,849,862
533	86,161,132,602,85
534	302,302,52,132
535	19,310,464,310
536	205,1100,733,1370,110
537	107,672,1448,1476
538	832,23,1450,1532
539	617,18,775,1275,960,1246,618
540	521,1031,1154
541	617,18,754
542	18,855,1144,1147,1204,1149,1351,1243,970,618,1484,1486,1372,1526,962,390,390,1532,101,1529,1441,651,651,1465
543	18,754,1408,1367,1349
544	18,205,71,76,345,345,774,302,302,832,1035,1253,757,623,1475,1344,1276,1536,1439
545	18,1108,1157,1087,596
546	1320,651
547	72,1247,823,962
548	161,19,1552,159,76
549	910,566,1421,1425,19,1541,1530,1473,1068,1044,586
550	162,142,302,304,302,304,19
551	19,62,274,720
552	274,274,19,161,125,126
553	530,602,19,832
554	19,271,271,274,304,274
555	47,402,402,20,47
556	20,47,402,402,1319
557	47,402,402,815,20
558	47,402
559	47,402
560	47,402,402
561	20,47,402,402,1319
562	41,41,20,47,234
563	20,47,402,402
564	47,402,402
565	1043,20,47,402,402
566	20,1319,47,402,402
567	20,47,234,402,402
568	47,402,402,1131
569	20,47,402,402
570	20,33,47,234,402,402
571	47,402,402,766,20
572	20,47,402,402,766
573	20,47,402,402
574	20,33,47,402
575	20,47,402,402,47
576	20,47,234,402,402
577	20,47,402,402
578	47,402,402,20,33,234,34
579	857,20,47,402,402
581	699,699,699,699,699,699,699,699,699,699,746,746,746,746,746,746,746,746,746,746,850,852,20,699,699,699,699,699,699,699,699,699,699,699,746,746,746,746,746,746,746,746,746,746,746,1073,1111
582	20,47,402,402,673
583	47,402,402,20,33
584	833,20
585	20,47,402,402
586	47,402,402,20,234
587	47,402,402,234,47,402
588	20,47,402,402,33
589	20,47,402,402
590	20,47,402,402,33
591	47,402,402,33
593	21,24,673,1365
594	21,24,592,997,200
595	503,503,914,640,868
596	22,414,414,1114,1501,768,822,744,57,580,785,827,861,928
597	199,217,269,385,435,445,467,480,483,385,435,445,467,480,483,601,698,472,22
598	694,22,533,830,489,489
599	53,54,22,329,329
600	22,905,598,1342,21
601	298,298,22,627,758,868
602	22,258,349,349,751,219
603	190,632,632,713,22
604	844,906,739,23,874,1205
605	25,340,340,1015,1141,23,23,1290,668,1271,798,1459,1048,1049,1137,229,1099,931,268,1238,930
606	1082,1147,23,1289
607	23,970,1451
608	779,767,23,1134,1463,1181,1182,1444,1024
609	1043,733,1105,23,97,1533,1056,1057,1479,1528,1486
610	103,1149,23,1400,1332
611	71,1174,23,1273,1281,1190
612	975,832,894,23,106,120
613	23,1201,1241,1278,1136,465,465,1517
614	112,975,25,820,1144,958,23,892,1296,1226,32,804,1425,1458,1386,1047,1450,618,1241,1484,1129,584,932,1509,1527,1515,821,1337,1446,669,1477,1304,41,1195,229,1547,1473,1269,586,358,358,615,1362,253,589
615	862,23,1383,1514,1124,1195
616	1052,25,39,1100,1291,973,1227,1210,1280,1264,1578
